,Unnamed: 0,t,DF(t),MarketRate,P,V,PD,PS
9936,9936,28563.958333333332,1.0098644187446115,-0.498,1.0170295766414488,-5032.8202556873775,0.0009765625,0.9990234375
9937,9937,28564.958333333332,1.0098698473959515,-0.498,1.0170288562017984,-5033.323170871381,0.0009765625,0.9990234375
9938,9938,28565.958333333332,1.0098752760764742,-0.498,1.0170281364533202,-5033.826088758867,0.0009765625,0.9990234375
9939,9939,28566.958333333332,1.0098807047861786,-0.498,1.0170274173958085,-5034.32900934985,0.0009765625,0.9990234375
9940,9940,28567.958333333332,1.0098861335250664,-0.498,1.0170266990290575,-5034.831932644345,0.0009765625,0.9990234375
9941,9941,28568.958333333332,1.0098915622931368,-0.498,1.017025981352862,-5035.334858642367,0.0009765625,0.9990234375
9942,9942,28569.958333333332,1.0098969910903903,-0.498,1.0170252643670163,-5035.83778734393,0.0009765625,0.9990234375
9943,9943,28570.958333333332,1.0099024199168267,-0.498,1.0170245480713154,-5036.340718749049,0.0009765625,0.9990234375
9944,9944,28571.958333333332,1.0099078487724469,-0.498,1.0170238324655538,-5036.843652857738,0.0009765625,0.9990234375
9945,9945,28572.958333333332,1.00991327765725,-0.498,1.0170231175495266,-5037.346589670011,0.0009765625,0.9990234375
9946,9946,28573.958333333332,1.0099187065712372,-0.498,1.0170224033230284,-5037.8495291858835,0.0009765625,0.9990234375
9947,9947,28574.958333333332,1.0099241355144082,-0.498,1.0170216897858542,-5038.35247140537,0.0009765625,0.9990234375
9948,9948,28575.958333333332,1.009929564486763,-0.498,1.0170209769377994,-5038.855416328484,0.0009765625,0.9990234375
9949,9949,28576.958333333332,1.009934993488302,-0.498,1.0170202647786586,-5039.358363955242,0.0009765625,0.9990234375
9950,9950,28577.916666666668,1.0099404225190252,-0.498,1.0170195533082274,-5039.861314285656,0.0009765625,0.9990234375
9951,9951,28578.916666666668,1.0099458515789328,-0.498,1.0170188425263014,-5040.364267319742,0.0009765625,0.9990234375
9952,9952,28579.916666666668,1.009951280668025,-0.498,1.0170181324326755,-5040.867223057515,0.0009765625,0.9990234375
9953,9953,28580.916666666668,1.009956709786302,-0.498,1.0170174230271454,-5041.370181498988,0.0009765625,0.9990234375
9954,9954,28581.916666666668,1.009962138933764,-0.498,1.0170167143095068,-5041.873142644177,0.0009765625,0.9990234375
9955,9955,28582.916666666668,1.0099675681104106,-0.498,1.017016006279555,-5042.376106493096,0.0009765625,0.9990234375
9956,9956,28583.916666666668,1.0099729973162428,-0.498,1.017015298937086,-5042.8790730457595,0.0009765625,0.9990234375
9957,9957,28584.916666666668,1.0099784265512606,-0.498,1.0170145922818956,-5043.382042302182,0.0009765625,0.9990234375
9958,9958,28585.916666666668,1.0099838558154637,-0.498,1.0170138863137799,-5043.885014262378,0.0009765625,0.9990234375
9959,9959,28586.916666666668,1.0099892851088523,-0.498,1.0170131810325342,-5044.387988926362,0.0009765625,0.9990234375
9960,9960,28587.916666666668,1.0099947144314267,-0.498,1.0170124764379553,-5044.890966294149,0.0009765625,0.9990234375
9961,9961,28588.916666666668,1.0100001437831871,-0.498,1.017011772529839,-5045.3939463657525,0.0009765625,0.9990234375
9962,9962,28589.916666666668,1.0100055731641342,-0.498,1.0170110693079817,-5045.896929141189,0.0009765625,0.9990234375
9963,9963,28590.916666666668,1.010011002574267,-0.498,1.0170103667721793,-5046.399914620471,0.0009765625,0.9990234375
9964,9964,28591.916666666668,1.0100164320135865,-0.498,1.0170096649222287,-5046.902902803613,0.0009765625,0.9990234375
9965,9965,28592.916666666668,1.0100218614820924,-0.498,1.017008963757926,-5047.405893690631,0.0009765625,0.9990234375
9966,9966,28593.916666666668,1.0100272909797856,-0.498,1.017008263279068,-5047.908887281539,0.0009765625,0.9990234375
9967,9967,28594.916666666668,1.0100327205066657,-0.498,1.0170075634854514,-5048.411883576351,0.0009765625,0.9990234375
9968,9968,28595.916666666668,1.0100381500627325,-0.498,1.0170068643768726,-5048.914882575083,0.0009765625,0.9990234375
9969,9969,28596.916666666668,1.0100435796479863,-0.498,1.0170061659531284,-5049.417884277747,0.0009765625,0.9990234375
9970,9970,28597.916666666668,1.010049009262428,-0.498,1.017005468214016,-5049.92088868436,0.0009765625,0.9990234375
9971,9971,28598.916666666668,1.010054438906057,-0.498,1.0170047711593322,-5050.423895794935,0.0009765625,0.9990234375
9972,9972,28599.916666666668,1.010059868578874,-0.498,1.0170040747888738,-5050.926905609487,0.0009765625,0.9990234375
9973,9973,28600.916666666668,1.0100652982808789,-0.498,1.0170033791024382,-5051.429918128031,0.0009765625,0.9990234375
9974,9974,28601.916666666668,1.0100707280120718,-0.498,1.0170026840998225,-5051.932933350581,0.0009765625,0.9990234375
9975,9975,28602.916666666668,1.0100761577724524,-0.498,1.0170019897808242,-5052.435951277152,0.0009765625,0.9990234375
9976,9976,28603.916666666668,1.010081587562022,-0.498,1.0170012961452404,-5052.938971907757,0.0009765625,0.9990234375
9977,9977,28604.916666666668,1.0100870173807797,-0.498,1.017000603192869,-5053.441995242413,0.0009765625,0.9990234375
9978,9978,28605.916666666668,1.0100924472287265,-0.498,1.0169999109235066,-5053.945021281133,0.0009765625,0.9990234375
9979,9979,28606.916666666668,1.0100978771058615,-0.498,1.016999219336952,-5054.448050023932,0.0009765625,0.9990234375
9980,9980,28607.916666666668,1.010103307012186,-0.498,1.0169985284330019,-5054.951081470825,0.0009765625,0.9990234375
9981,9981,28608.916666666668,1.010108736947699,-0.498,1.0169978382114544,-5055.454115621825,0.0009765625,0.9990234375
9982,9982,28609.916666666668,1.010114166912402,-0.498,1.0169971486721077,-5055.957152476947,0.0009765625,0.9990234375
9983,9983,28610.916666666668,1.0101195969062942,-0.498,1.0169964598147594,-5056.4601920362065,0.0009765625,0.9990234375
9984,9984,28611.916666666668,1.010125026929376,-0.498,1.0169957716392073,-5056.963234299617,0.0009765625,0.9990234375
9985,9985,28612.916666666668,1.0101304569816474,-0.498,1.0169950841452502,-5057.466279267194,0.0009765625,0.9990234375
9986,9986,28613.916666666668,1.0101358870631088,-0.498,1.0169943973326856,-5057.969326938952,0.0009765625,0.9990234375
9987,9987,28614.916666666668,1.0101413171737599,-0.498,1.016993711201312,-5058.472377314904,0.0009765625,0.9990234375
9988,9988,28615.916666666668,1.010146747313602,-0.498,1.0169930257509279,-5058.975430395067,0.0009765625,0.9990234375
9989,9989,28616.916666666668,1.0101521774826343,-0.498,1.0169923409813315,-5059.478486179453,0.0009765625,0.9990234375
9990,9990,28617.916666666668,1.010157607680857,-0.498,1.0169916568923214,-5059.981544668079,0.0009765625,0.9990234375
9991,9991,28618.916666666668,1.0101630379082704,-0.498,1.0169909734836962,-5060.484605860957,0.0009765625,0.9990234375
9992,9992,28619.916666666668,1.0101684681648746,-0.498,1.0169902907552544,-5060.987669758103,0.0009765625,0.9990234375
9993,9993,28620.916666666668,1.0101738984506698,-0.498,1.016989608706795,-5061.490736359531,0.0009765625,0.9990234375
9994,9994,28621.916666666668,1.0101793287656564,-0.498,1.0169889273381163,-5061.993805665256,0.0009765625,0.9990234375
9995,9995,28622.916666666668,1.010184759109834,-0.498,1.0169882466490179,-5062.496877675293,0.0009765625,0.9990234375
9996,9996,28623.916666666668,1.0101901894832035,-0.498,1.0169875666392985,-5062.999952389656,0.0009765625,0.9990234375
9997,9997,28624.916666666668,1.0101956198857645,-0.498,1.0169868873087569,-5063.503029808359,0.0009765625,0.9990234375
9998,9998,28625.916666666668,1.0102010503175172,-0.498,1.0169862086571926,-5064.006109931417,0.0009765625,0.9990234375
9999,9999,28626.916666666668,1.010206480778462,-0.498,1.0169855306844047,-5064.509192758845,0.0009765625,0.9990234375
10000,10000,28627.916666666668,1.0102119112685983,-0.498,1.0169848533901926,-5065.0122782906565,0.0009765625,0.9990234375
